Entity,Code,Day,stringency_index
Afghanistan,AFG,2021/4/4,26.85
Afghanistan,AFG,2021/4/5,26.85
Afghanistan,AFG,2021/4/6,26.85
Afghanistan,AFG,2021/4/7,26.85
Afghanistan,AFG,2021/4/8,26.85
Afghanistan,AFG,2021/4/9,26.85
Afghanistan,AFG,2021/4/10,26.85
Afghanistan,AFG,2021/4/11,26.85
Afghanistan,AFG,2021/4/12,26.85
Afghanistan,AFG,2021/4/13,26.85
Afghanistan,AFG,2021/4/14,26.85
Afghanistan,AFG,2021/4/15,26.85
Afghanistan,AFG,2021/4/16,26.85
Afghanistan,AFG,2021/4/17,26.85
Afghanistan,AFG,2021/4/18,26.85
Afghanistan,AFG,2021/4/19,26.85
Afghanistan,AFG,2021/4/20,26.85
Afghanistan,AFG,2021/4/21,26.85
Afghanistan,AFG,2021/4/22,26.85
Afghanistan,AFG,2021/4/23,26.85
Afghanistan,AFG,2021/4/24,26.85
Afghanistan,AFG,2021/4/25,26.85
Afghanistan,AFG,2021/4/26,26.85
Afghanistan,AFG,2021/4/27,26.85
Afghanistan,AFG,2021/4/28,26.85
Afghanistan,AFG,2021/4/29,26.85
Afghanistan,AFG,2021/4/30,26.85
Afghanistan,AFG,2021/5/1,26.85
Afghanistan,AFG,2021/5/2,26.85
Afghanistan,AFG,2021/5/3,26.85
Afghanistan,AFG,2021/5/4,26.85
Afghanistan,AFG,2021/5/5,26.85
Afghanistan,AFG,2021/5/6,26.85
Afghanistan,AFG,2021/5/7,26.85
Afghanistan,AFG,2021/5/8,26.85
Afghanistan,AFG,2021/5/9,26.85
Afghanistan,AFG,2021/5/10,26.85
Afghanistan,AFG,2021/5/11,26.85
Afghanistan,AFG,2021/5/12,26.85
Afghanistan,AFG,2021/5/13,26.85
Afghanistan,AFG,2021/5/14,26.85
Afghanistan,AFG,2021/5/15,26.85
Afghanistan,AFG,2021/5/16,26.85
Afghanistan,AFG,2021/5/17,26.85
Afghanistan,AFG,2021/5/18,26.85
Afghanistan,AFG,2021/5/19,26.85
Afghanistan,AFG,2021/5/20,26.85
Afghanistan,AFG,2021/5/21,26.85
Afghanistan,AFG,2021/5/22,26.85
Afghanistan,AFG,2021/5/23,54.63
Afghanistan,AFG,2021/5/24,54.63
Afghanistan,AFG,2021/5/25,54.63
Afghanistan,AFG,2021/5/26,54.63
Afghanistan,AFG,2021/5/27,54.63
Afghanistan,AFG,2021/5/28,54.63
Afghanistan,AFG,2021/5/29,37.96
Afghanistan,AFG,2021/5/30,37.96
Afghanistan,AFG,2021/5/31,41.67
Afghanistan,AFG,2021/6/1,41.67
Afghanistan,AFG,2021/6/2,41.67
Afghanistan,AFG,2021/6/3,41.67
